# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = itp1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 900
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = itp1_3.data.R
# init = 2 (Default)
# random
#   seed = 1381182335
# output
#   file = itp1_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,muh.1,muh.2,rho,kappa.1,kappa.2,kappa.3,kappa.4,kappa.5,kappa.6,kappa.7,kappa.8,kappa.9,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,L.1.1,L.2.1,L.3.1,L.4.1,L.5.1,L.6.1,L.7.1,L.8.1,L.9.1,L.1.2,L.2.2,L.3.2,L.4.2,L.5.2,L.6.2,L.7.2,L.8.2,L.9.2,L.1.3,L.2.3,L.3.3,L.4.3,L.5.3,L.6.3,L.7.3,L.8.3,L.9.3,L.1.4,L.2.4,L.3.4,L.4.4,L.5.4,L.6.4,L.7.4,L.8.4,L.9.4,L.1.5,L.2.5,L.3.5,L.4.5,L.5.5,L.6.5,L.7.5,L.8.5,L.9.5,L.1.6,L.2.6,L.3.6,L.4.6,L.5.6,L.6.6,L.7.6,L.8.6,L.9.6,L.1.7,L.2.7,L.3.7,L.4.7,L.5.7,L.6.7,L.7.7,L.8.7,L.9.7,L.1.8,L.2.8,L.3.8,L.4.8,L.5.8,L.6.8,L.7.8,L.8.8,L.9.8,L.1.9,L.2.9,L.3.9,L.4.9,L.5.9,L.6.9,L.7.9,L.8.9,L.9.9,muraw.1.1,muraw.2.1,muraw.1.2,muraw.2.2,muraw.1.3,muraw.2.3,muraw.1.4,muraw.2.4,betaraw.1.1,betaraw.2.1,betaraw.1.2,betaraw.2.2,betaraw.1.3,betaraw.2.3,betaraw.1.4,betaraw.2.4,betaraw.1.5,betaraw.2.5,betaraw.1.6,betaraw.2.6,betaraw.1.7,betaraw.2.7,betaraw.1.8,betaraw.2.8,betaraw.1.9,betaraw.2.9,sigma_beta,sigma_h,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9
# Adaptation terminated
# Step size = 0.00885598
# Diagonal elements of inverse mass matrix:
# 1.26268, 1.3913, 0.000226943, 0.00187409, 0.00194258, 0.00200244, 0.00163079, 0.00261636, 0.0030196, 0.0015991, 0.0011556, 0.00220587, 0.00718475, 0.00535236, 0.00788701, 0.0088228, 0.00627163, 0.00771108, 0.00861842, 0.00454361, 0.00467427, 0.000194356, 0.000192935, 0.000167239, 0.000199152, 0.000191258, 0.000173575, 0.000213965, 0.000205814, 0.000176066, 0.00021576, 0.000217844, 0.000198919, 0.000203896, 0.000183174, 0.000177645, 0.000157095, 0.000148217, 0.000184022, 0.000189521, 0.000188684, 0.000155707, 0.000187513, 0.000195991, 0.000189782, 0.000178042, 0.000198477, 0.00020739, 0.00019182, 0.000177852, 0.000172467, 0.000169227, 0.000168263, 0.000198997, 0.000195439, 0.000161513, 0.000170948, 0.214007, 0.240716, 0.291274, 0.442037, 0.277034, 0.258133, 0.405751, 0.282533, 0.637541, 0.810871, 0.83938, 0.758254, 0.885361, 0.902701, 0.764945, 0.732304, 0.803219, 0.982743, 0.84095, 0.997799, 0.751937, 1.01449, 0.970265, 0.787448, 0.796403, 0.89185, 0.719518, 0.120693, 0.000138346, 0.000127693, 0.000140158, 0.000139092, 0.000123481, 0.000128817, 0.000131319, 0.000144948, 0.000139594
-11181,0.998768,0.00885598,9,511,0,11231.2,-4.57011,11.3996,0.697053,0.235673,0.184568,0.201196,0.388998,0.226778,0.166462,0.267586,0.251782,0.185216,1.12357,-0.0127174,0.00428181,1.63146,1.85778,2.37337,2.04209,-0.817012,-1.24328,1,0.108698,-0.0346294,0.0418575,-0.02589,0.100593,-0.157901,-0.249251,0.0970685,0,0.994075,0.0920714,0.335017,0.113697,-0.13105,0.0395171,-0.0453357,0.2485,0,0,0.99515,0.19581,0.159131,-0.073465,-0.073413,-0.179942,0.0532841,0,0,0,0.92069,-0.127591,0.227475,-0.058178,-0.040822,0.0886522,0,0,0,0,0.972009,0.0300073,-0.0699992,-0.272073,-0.0845583,0,0,0,0,0,0.956381,-0.230256,0.0191483,0.0423614,0,0,0,0,0,0,0.952268,0.000550369,0.0758067,0,0,0,0,0,0,0,0.909606,0.29346,0,0,0,0,0,0,0,0,0.904056,1.00337,0.00863733,1.35288,-0.480302,1.56113,-1.09062,-0.04503,-0.6826,0.119144,-1.44394,0.34169,-1.10363,0.0405739,0.581851,-0.562718,0.417583,0.951783,-0.877965,0.293946,0.701723,-0.0661064,0.836822,-0.0477145,0.855462,0.646587,-1.15597,0.125591,2.78331,1.56796,1.2797,1.54915,1.6304,1.3253,1.35817,1.77973,1.31287,1.34656
-11194.7,0.967968,0.00885598,9,511,0,11225.5,-3.51049,10.6648,0.700638,0.216147,0.175781,0.229749,0.39788,0.208877,0.173968,0.293031,0.254372,0.186244,0.967767,-0.0584262,-0.153795,1.51462,1.92134,2.40401,2.01824,-0.868555,-1.43657,1,0.123677,-0.0265617,0.0333521,-0.0194259,0.0892321,-0.174423,-0.251455,0.0911898,0,0.992322,0.0993524,0.305993,0.12249,-0.150628,0.0226623,-0.0594197,0.237564,0,0,0.994698,0.220547,0.11112,-0.0786554,-0.0729146,-0.178158,0.0532081,0,0,0,0.925535,-0.129816,0.204032,-0.0504986,-0.0525275,0.062953,0,0,0,0,0.977455,0.0478772,-0.0605399,-0.265026,-0.110454,0,0,0,0,0,0.95877,-0.247375,0.039018,0.0568297,0,0,0,0,0,0,0.946751,-0.00752928,0.0825286,0,0,0,0,0,0,0,0.909353,0.302846,0,0,0,0,0,0,0,0,0.902495,1.3937,0.672702,2.12124,-0.654724,2.43092,-1.80177,-0.721813,-0.735737,-0.349825,0.322291,0.376967,0.854282,-0.266229,-0.964614,-0.506747,0.438837,-0.131355,1.89146,1.06583,-0.245173,-0.31274,0.677861,-0.619267,0.565157,-0.698743,-1.46808,0.0941701,1.29803,1.60043,1.26554,1.56555,1.6654,1.32144,1.37099,1.73991,1.32213,1.36825
-11197.2,0.960413,0.00885598,9,511,0,11237.2,-4.97406,10.292,0.705432,0.222626,0.168926,0.197146,0.388172,0.204596,0.174479,0.277258,0.264655,0.197568,1.05537,-0.0824328,-0.0794372,1.58965,1.79537,2.4057,1.95836,-0.92321,-1.31214,1,0.139476,-0.021881,0.0450474,-0.0102539,0.094015,-0.161756,-0.251306,0.120998,0,0.990225,0.112518,0.340033,0.143089,-0.132762,0.0185312,-0.0687772,0.227217,0,0,0.993409,0.219239,0.14311,-0.0733786,-0.0556226,-0.177692,0.0688762,0,0,0,0.913391,-0.149408,0.226839,-0.0625258,-0.0123864,0.0856516,0,0,0,0,0.96779,0.0457137,-0.0798687,-0.275617,-0.100786,0,0,0,0,0,0.95635,-0.245639,0.0197455,0.0582794,0,0,0,0,0,0,0.948562,-0.000915374,0.075724,0,0,0,0,0,0,0,0.907762,0.307996,0,0,0,0,0,0,0,0,0.898611,1.21635,0.422003,1.6105,-0.170026,1.73381,-0.697314,0.199506,-0.132296,0.431232,0.46402,-0.148524,0.837184,-0.506033,1.89067,-1.25559,0.844307,0.202719,0.254023,0.169101,0.122971,0.155078,-0.246969,-0.726961,0.275938,0.46843,-0.854413,0.249409,2.71422,1.58315,1.2934,1.57976,1.6536,1.32981,1.35159,1.77602,1.34182,1.37106
-11189.6,0.99989,0.00885598,9,511,0,11233.4,-2.13571,9.8302,0.710285,0.22549,0.190042,0.203365,0.380332,0.21618,0.167953,0.292717,0.263842,0.199065,1.07874,0.0135014,0.0382712,1.60538,1.98551,2.45528,1.95975,-0.832684,-1.32964,1,0.100206,-0.0314427,0.0432397,-0.0408473,0.0799416,-0.149976,-0.238759,0.088513,0,0.994967,0.105646,0.327706,0.116816,-0.145319,0.028457,-0.0516085,0.259252,0,0,0.993907,0.201862,0.144329,-0.0789641,-0.0926748,-0.188502,0.0334014,0,0,0,0.921949,-0.126663,0.215795,-0.0494804,-0.0570394,0.0877307,0,0,0,0,0.973556,0.0363362,-0.0517793,-0.261334,-0.08244,0,0,0,0,0,0.958316,-0.216093,0.030951,0.0410289,0,0,0,0,0,0,0.957227,-0.00468131,0.0868907,0,0,0,0,0,0,0,0.912288,0.293299,0,0,0,0,0,0,0,0,0.902268,0.318687,1.43885,1.11508,0.335756,1.68726,-1.25898,-2.26489,-0.332645,0.49827,1.29589,0.512116,-1.35416,0.348163,-0.896535,0.431047,-1.07718,-1.19783,-1.75508,0.775229,-0.266267,0.876825,0.792517,-1.08044,1.47373,1.0804,-1.46264,0.123845,1.06249,1.6027,1.28038,1.5762,1.67886,1.34682,1.39146,1.75212,1.31613,1.37587
-11181.4,0.998976,0.00885598,9,511,0,11217.5,-2.54125,9.60208,0.707522,0.224209,0.160621,0.208371,0.376337,0.211002,0.160013,0.282912,0.240118,0.165531,1.00605,0.0227891,-0.0634015,1.63267,1.85421,2.37359,2.01142,-0.782402,-1.15673,1,0.125868,-0.0391828,0.0301608,-0.0163702,0.103466,-0.169754,-0.241686,0.116349,0,0.992047,0.112521,0.336007,0.140785,-0.141945,0.0309261,-0.0694756,0.23351,0,0,0.992876,0.216563,0.150041,-0.0675595,-0.0651203,-0.180697,0.0758737,0,0,0,0.916128,-0.136857,0.221408,-0.0648378,-0.0360096,0.0614471,0,0,0,0,0.96885,0.0403926,-0.0675166,-0.272194,-0.102159,0,0,0,0,0,0.955996,-0.236544,0.0221647,0.0588157,0,0,0,0,0,0,0.949353,-0.00378263,0.0722374,0,0,0,0,0,0,0,0.910065,0.310235,0,0,0,0,0,0,0,0,0.898356,0.234757,0.902743,0.706852,0.113035,1.01134,-0.564316,-1.02578,0.186325,0.818583,-0.0489176,0.560414,1.23532,0.722436,0.523597,0.269783,-0.0492474,0.12522,0.43901,0.569876,0.527742,0.838913,-0.531861,-0.27286,-0.627373,-0.41181,-0.729938,0.31351,2.1763,1.58898,1.30014,1.57642,1.65353,1.33736,1.35436,1.78486,1.34248,1.36837
-11195.3,0.99788,0.00885598,9,511,0,11227.1,-1.71004,8.734,0.708489,0.230755,0.183635,0.19458,0.391311,0.228053,0.188391,0.242392,0.244567,0.175781,0.925806,-0.0373632,0.125114,1.70023,1.87839,2.33722,2.04798,-0.593263,-1.1372,1,0.0902763,-0.0540244,0.0356428,-0.0563601,0.101105,-0.178885,-0.232656,0.0770141,0,0.995917,0.116915,0.335305,0.11121,-0.140265,0.0266259,-0.0732405,0.252354,0,0,0.991671,0.209043,0.135222,-0.0665816,-0.0923122,-0.164058,0.0542841,0,0,0,0.917933,-0.148076,0.217596,-0.0382241,-0.0392027,0.0726803,0,0,0,0,0.971722,0.0559733,-0.072853,-0.259645,-0.0781018,0,0,0,0,0,0.956655,-0.209468,0.0459628,0.0690203,0,0,0,0,0,0,0.952956,-0.00999004,0.0849909,0,0,0,0,0,0,0,0.917838,0.307311,0,0,0,0,0,0,0,0,0.899794,0.0091606,1.11952,0.294339,0.591243,0.48354,-0.23537,-1.25843,0.357682,0.336621,0.166782,-0.235306,-0.470266,-0.242113,-0.758197,-0.278467,-1.8691,0.23699,0.278857,1.32354,-0.0470433,1.0417,1.00544,-0.251992,-0.247517,0.0144347,-0.0813437,0.259691,2.57883,1.61312,1.28282,1.58475,1.6975,1.34602,1.39474,1.78762,1.31897,1.38722
