# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = itp1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 900
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = itp1_4.data.R
# init = 2 (Default)
# random
#   seed = 1381182338
# output
#   file = itp1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,muh.1,muh.2,rho,kappa.1,kappa.2,kappa.3,kappa.4,kappa.5,kappa.6,kappa.7,kappa.8,kappa.9,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,L.1.1,L.2.1,L.3.1,L.4.1,L.5.1,L.6.1,L.7.1,L.8.1,L.9.1,L.1.2,L.2.2,L.3.2,L.4.2,L.5.2,L.6.2,L.7.2,L.8.2,L.9.2,L.1.3,L.2.3,L.3.3,L.4.3,L.5.3,L.6.3,L.7.3,L.8.3,L.9.3,L.1.4,L.2.4,L.3.4,L.4.4,L.5.4,L.6.4,L.7.4,L.8.4,L.9.4,L.1.5,L.2.5,L.3.5,L.4.5,L.5.5,L.6.5,L.7.5,L.8.5,L.9.5,L.1.6,L.2.6,L.3.6,L.4.6,L.5.6,L.6.6,L.7.6,L.8.6,L.9.6,L.1.7,L.2.7,L.3.7,L.4.7,L.5.7,L.6.7,L.7.7,L.8.7,L.9.7,L.1.8,L.2.8,L.3.8,L.4.8,L.5.8,L.6.8,L.7.8,L.8.8,L.9.8,L.1.9,L.2.9,L.3.9,L.4.9,L.5.9,L.6.9,L.7.9,L.8.9,L.9.9,muraw.1.1,muraw.2.1,muraw.1.2,muraw.2.2,muraw.1.3,muraw.2.3,muraw.1.4,muraw.2.4,betaraw.1.1,betaraw.2.1,betaraw.1.2,betaraw.2.2,betaraw.1.3,betaraw.2.3,betaraw.1.4,betaraw.2.4,betaraw.1.5,betaraw.2.5,betaraw.1.6,betaraw.2.6,betaraw.1.7,betaraw.2.7,betaraw.1.8,betaraw.2.8,betaraw.1.9,betaraw.2.9,sigma_beta,sigma_h,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9
# Adaptation terminated
# Step size = 0.00718884
# Diagonal elements of inverse mass matrix:
# 1.498, 1.07457, 0.000196035, 0.00207355, 0.00189293, 0.00228568, 0.00123437, 0.00263084, 0.00311038, 0.00175103, 0.00110932, 0.00277995, 0.00757348, 0.00505693, 0.00856403, 0.00837053, 0.00710527, 0.00591406, 0.0082909, 0.00627296, 0.00648087, 0.000186852, 0.000198323, 0.000153581, 0.000169592, 0.000175149, 0.000195114, 0.000190995, 0.000207026, 0.000205271, 0.00018092, 0.000157655, 0.00018901, 0.000170335, 0.000166976, 0.000186116, 0.000152463, 0.000191544, 0.000184319, 0.000191799, 0.000163794, 0.000160233, 0.000205331, 0.000164476, 0.000173126, 0.000173173, 0.000171929, 0.000193207, 0.00018287, 0.000209834, 0.000223642, 0.000190714, 0.000171443, 0.000159659, 0.000192563, 0.000207364, 0.000187588, 0.269517, 0.287204, 0.323229, 0.512672, 0.267463, 0.208729, 0.302763, 0.226724, 0.788108, 0.604291, 0.871068, 0.798046, 0.662994, 0.617908, 0.743739, 0.705312, 0.715933, 0.930406, 0.849958, 0.805619, 0.792544, 0.845202, 0.907053, 0.780882, 0.641984, 0.919857, 0.570926, 0.119209, 0.000133874, 0.00015825, 0.000113613, 0.000121247, 0.000119956, 0.000120564, 0.000125146, 0.000133457, 0.000138171
-11206.9,0.999331,0.00718884,9,511,0,11255.2,-1.29165,9.43144,0.695279,0.253815,0.188241,0.211162,0.379819,0.218474,0.172639,0.268435,0.23579,0.185207,1.05339,-0.0287448,-0.173353,1.53612,1.92594,2.3098,2.00812,-0.810961,-1.35188,1,0.11498,-0.0428349,0.0257079,-0.0343293,0.0909445,-0.147725,-0.237212,0.0975448,0,0.993368,0.116956,0.314129,0.117304,-0.15782,0.0216606,-0.0683771,0.214518,0,0,0.992213,0.224447,0.13352,-0.0776626,-0.0809108,-0.187606,0.0558528,0,0,0,0.922109,-0.146892,0.216708,-0.0692337,-0.0210575,0.11413,0,0,0,0,0.972449,0.0515978,-0.068141,-0.263517,-0.10414,0,0,0,0,0,0.95455,-0.238708,0.0366066,0.0506669,0,0,0,0,0,0,0.95118,-0.0158327,0.0652629,0,0,0,0,0,0,0,0.912351,0.284221,0,0,0,0,0,0,0,0,0.910971,-0.160732,1.7196,0.295542,0.798707,0.983937,-1.0996,-3.32722,0.33905,-1.70967,-0.342513,-1.38236,1.2196,1.26542,-0.488049,0.556161,-0.420272,0.161006,-0.39512,0.88831,1.5125,0.205839,-0.0442851,-0.957024,1.53719,0.154811,-0.333463,0.185177,0.994774,1.5882,1.2772,1.55885,1.64242,1.29545,1.37227,1.70511,1.30879,1.3698
-11206.8,0.99416,0.00718884,9,511,0,11256.6,-1.63953,8.8757,0.699168,0.230163,0.178168,0.210095,0.383168,0.200777,0.168756,0.285756,0.248696,0.193888,1.10779,0.113111,-0.111628,1.58717,1.85005,2.36485,2.1664,-0.869493,-1.27605,1,0.108672,-0.0516219,0.0265211,-0.0292105,0.101748,-0.181649,-0.223382,0.102957,0,0.994078,0.107131,0.333374,0.126934,-0.116959,0.0185916,-0.0493316,0.263441,0,0,0.992904,0.199349,0.14004,-0.0672469,-0.0731386,-0.170373,0.0739948,0,0,0,0.921096,-0.131877,0.234143,-0.0248875,-0.046903,0.0710787,0,0,0,0,0.972642,0.0271477,-0.0584635,-0.274715,-0.104393,0,0,0,0,0,0.957019,-0.229382,0.0111519,0.0414427,0,0,0,0,0,0,0.951134,-0.00729661,0.0623737,0,0,0,0,0,0,0,0.916948,0.314525,0,0,0,0,0,0,0,0,0.891089,-0.0108945,1.37445,0.432464,0.595351,0.908657,-0.0583883,-1.67646,0.475714,0.30177,-0.204381,-1.5268,0.862791,0.251827,-0.646193,0.204487,-0.510743,-0.820808,-1.06841,1.23294,-1.6649,0.558019,0.0367217,-0.0227039,0.533656,1.72354,-2.92924,0.139594,1.86556,1.55327,1.24974,1.55296,1.64684,1.3384,1.35046,1.78646,1.30462,1.33964
-11200.6,0.998628,0.00718884,9,511,0,11253.8,-1.35411,10.102,0.695143,0.235103,0.169306,0.224439,0.367163,0.213687,0.169315,0.267913,0.247741,0.193073,1.23114,0.161368,-0.0398009,1.72146,2.03989,2.45706,2.03471,-0.958762,-1.23913,1,0.105413,-0.0262868,0.0416998,-0.0345286,0.110659,-0.153886,-0.244115,0.105454,0,0.994429,0.0825719,0.318408,0.105647,-0.145119,0.02687,-0.0584126,0.231211,0,0,0.996238,0.180279,0.145657,-0.0694281,-0.0814468,-0.16953,0.0555662,0,0,0,0.929719,-0.114318,0.237575,-0.0674081,-0.0514762,0.0766542,0,0,0,0,0.976403,0.0391376,-0.057868,-0.269338,-0.100821,0,0,0,0,0,0.950737,-0.256106,0.0245814,0.0509865,0,0,0,0,0,0,0.946298,-0.0299444,0.0709542,0,0,0,0,0,0,0,0.9119,0.30269,0,0,0,0,0,0,0,0,0.903901,-0.284713,0.696074,0.314901,-0.0932555,0.586398,-0.839375,-1.72925,-0.25012,-0.68545,-1.03199,-0.51407,0.710489,1.21303,-0.80878,-0.783032,-0.189043,-1.44717,-1.58934,-0.547836,-0.609009,0.317698,-0.353639,0.664367,1.41786,0.59981,-0.888686,0.223956,1.86223,1.56971,1.26214,1.51949,1.63221,1.29241,1.35144,1.74653,1.31399,1.35815
-11195.5,0.997215,0.00718884,9,511,0,11257.5,-0.675482,10.3236,0.701853,0.224065,0.176629,0.194251,0.399204,0.219065,0.174865,0.276531,0.260883,0.181689,0.908548,-0.0968923,0.0984869,1.51026,1.70994,2.27477,1.99013,-0.795753,-1.30546,1,0.111731,-0.0570985,0.0429841,-0.0406156,0.0906351,-0.176411,-0.219863,0.113439,0,0.993739,0.108028,0.319411,0.132383,-0.131589,0.0264144,-0.0413677,0.257333,0,0,0.992507,0.224906,0.140628,-0.101695,-0.0656889,-0.20354,0.0528511,0,0,0,0.919536,-0.145609,0.191374,-0.0416275,-0.037385,0.0732804,0,0,0,0,0.969457,0.0467248,-0.0710713,-0.252777,-0.0719412,0,0,0,0,0,0.961936,-0.218688,0.0353723,0.0548241,0,0,0,0,0,0,0.95355,0.0164642,0.0812578,0,0,0,0,0,0,0,0.917444,0.298218,0,0,0,0,0,0,0,0,0.899461,-0.604229,0.828613,-0.0118657,-0.225489,0.39748,-1.32932,-2.60529,-0.452827,0.194572,1.56706,-0.380136,-0.576284,-0.597421,0.766465,-0.573941,-0.304427,0.134461,0.0459503,0.996279,1.27935,-0.885877,1.83388,-0.467532,0.420263,-0.103583,-0.21067,0.0608229,1.48688,1.59019,1.27322,1.58589,1.66112,1.35355,1.35503,1.7512,1.30644,1.36825
-11193.8,0.985944,0.00718884,9,511,0,11237.6,-2.93953,10.7058,0.701396,0.22471,0.175059,0.211339,0.363649,0.206273,0.172761,0.28344,0.254337,0.193991,1.05826,0.0627491,-0.0950953,1.75848,1.97122,2.54599,2.00772,-0.882541,-1.27576,1,0.101977,-0.0176353,0.0432808,-0.0290864,0.117877,-0.165736,-0.251135,0.0949338,0,0.994787,0.0997941,0.351148,0.11694,-0.127899,0.00575697,-0.0667253,0.236668,0,0,0.994852,0.185088,0.14943,-0.058051,-0.0813455,-0.163955,0.0540856,0,0,0,0.916823,-0.131998,0.2384,-0.0648992,-0.0340949,0.0884323,0,0,0,0,0.972485,0.0409342,-0.0616598,-0.27835,-0.107855,0,0,0,0,0,0.95282,-0.25169,0.0413464,0.0657459,0,0,0,0,0,0,0.945791,-0.0287823,0.074574,0,0,0,0,0,0,0,0.907975,0.292088,0,0,0,0,0,0,0,0,0.904101,0.672375,0.471167,1.04128,-0.371618,1.54489,-1.35983,-0.977487,-0.567474,-0.241605,-1.15751,-0.296657,-0.212346,1.37627,-0.360491,-0.463967,-0.535575,-1.1073,-0.35374,-0.222831,-0.358553,0.46859,0.134469,0.143088,1.29942,1.39016,-0.895666,0.210906,1.81521,1.58745,1.27913,1.54226,1.66864,1.31955,1.38665,1.78058,1.33362,1.36678
-11189.7,0.995472,0.00718884,9,511,0,11228.1,-2.84739,11.2447,0.704639,0.232133,0.168923,0.207864,0.371052,0.219724,0.167355,0.278872,0.254483,0.201192,1.03227,0.0284847,-0.0541531,1.69571,1.90293,2.43098,2.15728,-0.895018,-1.29323,1,0.113994,-0.0177618,0.0454131,-0.0044982,0.108446,-0.167569,-0.257513,0.108085,0,0.993481,0.111372,0.329916,0.130464,-0.114349,0.0279663,-0.0510932,0.25659,0,0,0.99362,0.200157,0.146964,-0.0783392,-0.0886236,-0.184943,0.0405301,0,0,0,0.921428,-0.135716,0.225086,-0.0578967,-0.0287671,0.0715357,0,0,0,0,0.971052,0.0370257,-0.0771773,-0.27448,-0.107498,0,0,0,0,0,0.957597,-0.248942,0.041483,0.0430268,0,0,0,0,0,0,0.944459,-0.0140722,0.0779011,0,0,0,0,0,0,0,0.904869,0.295226,0,0,0,0,0,0,0,0,0.899491,0.394427,0.118784,0.846614,-0.380474,1.08593,-1.15187,-0.690984,-0.820831,0.627729,-1.05572,-0.424845,0.073804,0.0749307,-0.128301,-0.529515,-0.869049,-1.45965,-0.526457,-0.838708,-0.346974,0.199289,1.51254,-0.0879993,1.82944,0.156565,-0.654718,0.256522,2.49103,1.58723,1.26518,1.56288,1.65954,1.34527,1.39391,1.77245,1.31706,1.35459
